POOL,ON_CHAIN_ID,WALLET,CMIX_ID
'moneyteam', 'moneyteam 01', '6ZsGpqy3LA6HWm2MXS31vqmJnxfaXLvwEgr4Tw6d9yJQNtkM', '3XZ5lNaFv5OgAgXi9O7pZANP/CWyGpbhB9E8QmYM1sMC'
'moneyteam', 'moneyteam 02', '6ayHfwRKnqBngfUuqjjSJef1tUyZqeN5sUT3Ex5wT3S3jY4e', 'eXRzev8PC/OXj669SLGwy2zQmr6p8uCmPy0oF03AfiwC'
'moneyteam', 'moneyteam 03', '6YqoMdc4Rpg6zCWdq6xDnkEEjFUizArqJmjvduQLSZavXbM8', 'Y8w3UyE3OiOUxbmG7s1XLDB2MNoEstdz1GsKJBn2KgMC'
'moneyteam', 'moneyteam 04', '6VzVErFXM3e9FE8uvSU7fwCpMuJW8j8HWMxz62kQwexvxjF6', 'jBRTuDxyR8q0hAIN6T24nyqK/cBMOhiITIAeLQpEF5YC'
'moneyteam', 'moneyteam 05', '6aLU7vB5uPgi6LJMeA1YNcqDr5DDpMwTx3NKSWiXo6cG9b18', 'NfQj+32d+ZO44mk2z8e3qHQ+g1Wa7x40cuyR0lUoj4kC'
'moneyteam', 'moneyteam 06', '6XqNnjCFEWnXr7xCMgcmCdPy29QdGbMJsBPUqMh5Xq74MEHr', 'itrNbIlTQwJfD4SKB6dCQM/qJOpblYZzXgMp10QGKWgC'
'moneyteam', 'moneyteam 07', '6aFM2WJSW3mZTj4wwBRdYV9Ts4rG4HL23SwpTg5JdRbQReQN', 'g8N1Fkf9gOCifXl+10LqohyiR5zN5PI94jKQlQutnDgC'
'moneyteam', 'moneyteam 08', '6ZHj5NvRdJsfosoe3upsyaPqzxbwJyWs1PpwLNS83fNW9nBe', 'KCxKE6EHI1LeHcWVLU0c7ww8SCBK6PzUyDBPLWx6lpQC'
'moneyteam', 'moneyteam 09', '6ZCXvTYwfE5nw8GEy2erHpRLiqLKFhLz9VAJQrbCgxwRUYjg', 'coA/NSJnzDh1pdPAkmWtPpNEvogM0isISv9SS0bs0R0C'
'united_earth', 'united earth/1 peace', '6VJHDa3n2ZvnHKezZ3PjK9EhH69hmBUTSCVyq1xfThmVfCJq', 'UE//ET0+oL8wsnpIey4pfSdV8UYUfH1bUsiMf+tnsF0C'
'united_earth', 'united earth/2 patience', '6VJHDaN9Wvwmg22AvmVAVzPVVCyPwqxZDL2SY2ZYBC86JrrV', 'UE/J+24OVVMOTlFcmCAIuVkgWNen0Sg2ga5DCSdnVtsC'
'united_earth', 'united earth/3 kindness', '6VJHDa5UyMAGfTrSxaKnbtw8aMhxYcE4wBQUVDgg44FAuGJP', 'UE/2dTVOHBcKpYaZpJuj5RazYpnWKRPh7wFuTnPQkoAC'
'united_earth', 'united earth/4 self-control', '6VJHDae46U3g7nXZ2t7equPCDt1M5DY6P2wph7vBwMfATXDZ', 'UE/FXtIlbQkzhfMUgmSsXM/IQoTpMZwudoDdDxpH8IcC'
'united_earth', 'united earth/5 patience', '6VJHDaN9Wvwmg22AvmVAVzPVVCyPwqxZDL2SY2ZYBC86JrrV', 'UE/J+24OVVMOTlFcmCAIuVkgWNen0Sg2ga5DCSdnVtsC'
'united_earth', 'united earth/6 joy', '6VJHDaQBtxnxyc9Pa9jgb3c7ozMAnneG2PMmFkDszmbesxPQ', 'UE/O42UDa2e2soILeVX93kxhNhF1s1iphHpR4bTSdKUC'
'united_earth', 'united earth/7 goodness', '6VJHDahVCLcToxsnQgr8oJ2wvHywAvXTreBTW3ezcRrNcFN1', 'UE/7QH5tDEVDiCojcM7CEc/tALD5v462OqKKfo+DuOAC'
'united_earth', 'united earth/8 faith', '6VJHDavkx6Xsq5fjaysqapBWEi8dWjtpQyc3Tt4AMUPNGKJR', 'UE/DIV4NVhpgLDsPdqoTl5Wyf3pI1RkvSgnGBfNNUdsC'
'united_earth', 'united earth/and other such qualities', '6VJHDawsAjPL6qT5z5psjEMd3neb3UEvcHcEmQTkdog57keF', 'UE/VTEXyaaT8WVmTwwhIW1x8Q0R6LKd6eHNvoNk26lMC'